date,Net income,Depreciation & Amortization,Cash generated by operating activities,Cash at end of period,Revenue,Cost of revenue,Earnings per share,Current assets,Total assets,Current liabilities,Shareholders equity,Stock price
2008-02-01,8683,11918,2899,8186,4083,12989,11708,3015,18418,6048,8990,8095
2008-03-01,8302,12056,2912,8178,3936,11192,11110,3216,19862,6258,9198,7786
2008-04-01,8693,12201,2893,8254,3980,12539,11725,2990,17589,6447,8650,7331
2009-02-01,8380,13741,2847,7863,3978,11249,11996,3172,18262,6533,9514,7983
2009-03-01,8686,12428,2642,8184,3691,12204,12049,2981,19613,6382,9484,8966
2009-04-01,8406,11798,2863,7588,3927,12278,12557,2991,18654,6186,9689,8484
2010-02-01,8926,13112,3011,8621,4187,11078,11991,2948,16647,6613,10198,8139
2010-03-01,8314,11801,2729,7929,4204,11556,11901,2908,18601,6527,10398,7804
2010-04-01,8513,13815,2689,8249,3644,12550,11745,3181,18955,5989,10124,8260
2011-02-01,8118,11575,2622,7183,4167,12147,12067,3146,18276,6254,9649,8088
2011-03-01,7874,11540,3072,7896,3942,12351,12346,3014,17103,5428,9806,7678
2011-04-01,8178,12677,2844,8253,4011,11915,11847,2897,17793,5948,9721,7709
2012-02-01,8378,11166,2989,8036,3976,11935,12691,3061,18468,5996,9951,8751
2012-03-01,7616,13248,2841,7840,4295,11592,10922,3262,18713,6315,10316,7806
2012-04-01,8300,13173,2989,7862,4276,11225,11558,3250,18060,6196,9907,8173
2013-02-01,8697,11031,2601,8802,3968,11000,11086,3085,18890,6491,10090,8361
2013-03-01,8210,13223,2943,8656,4365,11223,11783,3016,17714,6962,10024,7796
2013-04-01,7859,12221,2959,7837,3791,11582,10560,3248,19772,6439,9317,8634
2014-02-01,8123,12162,3200,8212,4158,12749,11396,3202,18430,6508,10873,7812
2014-03-01,8761,11427,2778,8369,4162,12220,11243,3039,19772,5783,9872,7933
2014-04-01,8437,12295,2514,8680,3680,11793,11694,3113,17886,6686,8996,8015
2015-02-01,7877,12602,2857,8463,4319,11526,11937,3450,19098,6459,9832,7732
2015-03-01,8528,12049,2746,8559,4313,12123,10855,3193,19620,6135,9223,7824
2015-04-01,8149,11627,2884,7776,4034,11376,11828,3137,15763,6313,9752,7828
2016-02-01,7926,12474,2760,8141,4076,12132,11224,3207,18883,6050,9592,7721
2016-03-01,7891,11935,2645,8162,4159,12419,11983,3385,17704,5794,9349,7323
2016-04-01,8059,11521,2821,7285,4433,11700,12229,3026,18826,6870,8929,7568
2017-02-01,8721,11513,2406,8299,4230,13853,10769,2753,18330,6623,9628,8109
2017-03-01,8371,12005,2849,7681,3301,12338,12792,2848,19759,6246,9331,8211
2017-04-01,8829,12351,2886,8211,3961,12310,11078,3269,19449,6038,9781,7614
2018-02-01,9109,12539,2756,7818,4058,11943,12343,3099,18535,6728,9698,8087
2018-03-01,8253,13627,3051,8707,4146,11930,12221,3156,18003,6357,10051,8041
2018-04-01,8385,11534,2901,7806,3970,11606,12044,3081,19117,6432,9823,8416
